Detector module ID,Assembly date,Assembler,FE board number,A0 SM ID,A1 SM ID,Resistance when assembling (Ohms),Kapton foam layers,Assembly location,Cu housing provider,Cu housing ID,Cu housing tool,Thermomaterial applied,DeltaT average at 0.25 A [ºC],RMS DeltaT over 4 sensors,Average LY,Average max(|LO asymmetry|),RU,Resistance at 23ºC,CP Width Bottom before assembly [mm],Width Bottom [mm],Width Bottom Edge [mm],Delta Bottom,CP Width High before assambly [mm],Width High [mm],Width High Edge [mm],Delta Top,A visible gap between copper tabs and SiPM packages (Y/N),All copper tabs 90 degrees (Y/N),Tab is NOT touching glue,"> 0.4 variation in TEC response to bias (Y, value/N)",Comments,Mounted on tray?
32110040004351,27/02/2025,Jason,1572,32110020008782,32110020008822,50.65,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004352,27/02/2025,Soham,0369,32110020008706,32110020008767,50.61,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004353,27/02/2025,Ray,0389,32110020008714,32110020008792,51.3,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004354,27/02/2025,Alex,0361,32110020008709,32110020008762,51.38,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004355,27/02/2025,Thomas,1541,32110020008721,32110020008771,51.34,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004356,27/02/2025,Jason,0305,32110020008742,32110020008790,52.45,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004357,27/02/2025,Soham,0404,32110020008722,32110020008814,51.51,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004358,27/02/2025,Ludovico,0372,32110020008764,32110020008768,50.72,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004359,27/02/2025,Ludovico,0370,32110020008696,32110020008701,50.88,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004360,27/02/2025,Ludovico,1536,32110020008761,32110020008791,51.2,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004361,27/02/2025,Ludovico,0371,32110020008759,32110020008775,52.23,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004362,27/02/2025,Ludovico,0416,32110020008766,32110020008794,52.96,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004363,28/02/2025,Ludovico,0382,32110020008710,32110020008758,50.82,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004364,28/02/2025,Ludovico,0313,32110020008770,32110020008813,51.5,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004365,28/02/2025,Jason,0405,32110020008600,32110020008912,51.83,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004366,28/02/2025,Thomas,0374,32110020008867,32110020008911,51.9,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004367,03/03/2025,Jason,0594,32110020008700,32110020008750,50.33,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004368,03/03/2025,Jason,1649,/home/cptlab1/mnt/cptlab_share/results/QAQC_DM/run-0059_DM-32110040004292.log,32110020008737,51.52,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004369,03/03/2025,Jason,0276,32110020008927,32110020008933,51.62,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004370,03/03/2025,Jason,0390,32110020008850,32110020008862,51.52,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004371,03/03/2025,Jason,1549,32110020008921,32110020008929,50.53,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004372,03/03/2025,Jason,0377,32110020008874,32110020008898,51.51,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004373,03/03/2025,Jason,1548,32110020008576,32110020008928,52.01,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004374,03/03/2025,A+T,0392,32110020008903,32110020008938,50.54,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004375,03/03/2025,A+T,0274,32110020008837,32110020008897,51,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004376,03/03/2025,A+T,0396,32110020008836,32110020008907,49.27,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004377,03/03/2025,A+T,0384,32110020008839,32110020008892,50.95,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004378,04/03/2025,Ludovico,0270,32110020008895,32110020008909,50.3,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004379,04/03/2025,Ludovico,0385,32110020008879,32110020008883,51.7,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004380,06/03/2025,A+T,1667,32110020008885,32110020008918,51.21,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004381,06/03/2025,A+T,0311,32110020008831,32110020008932,50.78,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004382,06/03/2025,A+T,0269,32110020008846,32110020008926,50.61,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004383,06/03/2025,A+T,0279,32110020008884,32110020008934,51.16,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004384,07/03/2025,Jason,0356,32110020008887,32110020008906,51.95,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004385,10/03/2025,Jason,0366,32110020008859,32110020008910,51.17,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004386,13/03/2025,Jason,0375,32110020008778,32110020008866,51.05,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004387,13/03/2025,Jason,0373,32110020008799,32110020008890,51.53,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004388,13/03/2025,Jason,0381,32110020008801,32110020008809,51.69,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004389,13/03/2025,Jason,0406,32110020008845,32110020008856,50.55,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004390,13/03/2025,Jason,1697,32110020008844,32110020008853,50.66,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004391,13/03/2025,Jason,1707,32110020008830,32110020008908,51.86,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004392,13/03/2025,Jason,1710,32110020008913,32110020008949,51.39,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004393,13/03/2025,Jason,0394,32110020008779,32110020008886,51.38,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004394,13/03/2025,Jason,0368,32110020008888,32110020008915,51.46,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004395,13/03/2025,Jason,0387,32110020008905,32110020008914,51.74,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004396,13/03/2025,Jason,1680,32110020008877,32110020008947,51.8,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004397,13/03/2025,Jason,1681,32110020008917,32110020008943,50.39,1,,,,,,,,,,,,,,,,,,,,,,,,,
32110040004398,24/03/2025,Alex,0407,32110020008860,32110020008935,50.49,1,,,,,,,,,,,,,,,,,,,,,,,,,
